anfitriao_id,anf_data_cadastro,id_anuncio,nome_anuncio,bairro,tipo_propriedade,tipo_acomodacao,numero_hospedes,quartos,camas,preco,min_noites,max_noites,disponivel,numero_avaliaçoes,pontuacao_avaliacoes,confirmacao_instantanea
3690957,2012-09-27,7052137,Quarto  duplo Ar Cond. wifi. Praia do Leme-Copa,Copacabana,Private room in rental unit,Private room,2,1.0,1.0,113.0,300,500,t,54,4.92,t
32013519,2015-04-26,7052141,Linda Cobertura Barra da Tijuca - 2,Barra da Tijuca,Private room in rental unit,Private room,3,1.0,2.0,164.0,2,1125,t,8,4.88,f
13392098,2014-03-21,7052988,STUDIO REFORMADO COPACABANA POSTO 5,Copacabana,Entire rental unit,Entire home/apt,3,,1.0,180.0,3,365,t,1,5.0,f
13411812,2014-03-22,7053520,Apartamento muito aconcheganteCOPA,Copacabana,Entire rental unit,Entire home/apt,2,1.0,1.0,99.0,3,1125,t,2,5.0,f
29593595,2015-03-18,7053762,Next/Praia Posto 5/Flat de 2 Suítes 100m2,Barra da Tijuca,Entire rental unit,Entire home/apt,6,2.0,3.0,475.0,4,1125,t,6,4.67,f
11389355,2014-01-17,7073927,Chez Cassia Studio Copacabana 1 block to the beach,Copacabana,Entire rental unit,Entire home/apt,2,1.0,1.0,188.0,10,70,t,65,4.66,f
37148627,2015-06-30,7087986,Amazing sea view in Barra da Tijuca,Barra da Tijuca,Entire serviced apartment,Entire home/apt,3,1.0,1.0,279.0,3,60,t,60,4.8,f
37212716,2015-07-01,7100391,Apartment at Praia da Barra,Barra da Tijuca,Entire rental unit,Entire home/apt,4,1.0,3.0,250.0,2,1125,t,34,4.74,f
36518818,2015-06-23,7105911,Quarto Praia Copacabana e metrô Cantagalo,Copacabana,Private room in rental unit,Private room,2,1.0,1.0,70.0,1,1125,t,5,4.5,f
3066534,2012-07-26,7107081,Superbe Penthouse à Copacabana,Copacabana,Entire rental unit,Entire home/apt,4,2.0,2.0,322.0,6,365,t,31,4.84,f
3650786,2012-09-23,7108083,"Barra Da Tijuca Beach,great Condo!",Barra da Tijuca,Entire condominium (condo),Entire home/apt,4,2.0,2.0,270.0,4,30,t,2,4.5,f
37252676,2015-07-01,7111469,"Copacabana Apartamento AMARELO: 2 qtos, Praia 100m",Copacabana,Entire rental unit,Entire home/apt,5,2.0,4.0,250.0,3,20,t,7,5.0,f
27211584,2015-02-04,7112076,❤️Melhor quarto/sala com dependências em Copacabana,Copacabana,Entire condominium (condo),Entire home/apt,3,1.0,4.0,140.0,29,1125,t,13,4.92,f
17083312,2014-06-21,7112361,"Estúdio a uma Quadra da Praia, Vista para a Praça!",Copacabana,Entire loft,Entire home/apt,4,1.0,2.0,225.0,3,30,t,85,4.92,f
