anfitriao_id,anfitriao_nome,anf_data_cadastro,anf_tempo_resposta,anf_taxa_resposta,anf_taxa_aceitacao,super_anfitriao,anf_bairro,anf_num_total_anuncios,anf_foto_perfil,anf_identidade_verificada
2535917,Nathalie,2012-06-03,,,,f,Copacabana,2.0,t,t
2536988,Celeste,2012-06-03,within a day,100%,100%,f,Botafogo,5.0,t,t
2538035,Nathalia,2012-06-03,a few days or more,0%,0%,f,Lagoa,1.0,t,t
2554622,Maria José,2012-06-05,within an hour,100%,,t,Ipanema,1.0,t,t
2555939,Antonio,2012-06-05,within a few hours,100%,93%,t,Barra da Tijuca,1.0,t,t
533666,Sandra Valéria,2011-04-25,within a few hours,100%,100%,f,Copacabana,3.0,t,t
2590921,Anna,2012-06-09,,,,f,,1.0,t,f
2595823,Vitor,2012-06-10,a few days or more,34%,68%,f,Copacabana,2.0,t,t
2596229,Sydney,2012-06-10,within a few hours,70%,67%,f,Gávea,2.0,t,f
1663702,Maria Luisa,2012-01-28,within a day,77%,57%,f,Ipanema,2.0,t,t
2598673,Fabian,2012-06-10,within a few hours,100%,100%,t,Ipanema,2.0,t,t
2605270,Teresa,2012-06-11,within an hour,100%,97%,t,Copacabana,4.0,t,t
2397123,Camila,2012-05-17,,,,t,Copacabana,1.0,t,t
338919,Charles,2011-01-07,within an hour,100%,100%,t,Ipanema,1.0,t,t
2527334,Miguel,2012-06-02,within a day,50%,0%,f,Santa Teresa,1.0,t,f
2643038,Neusa Equipe Ar E Terra,2012-06-15,within a few hours,95%,90%,f,Leblon,17.0,t,t
2655983,Claudia,2012-06-16,within a day,67%,0%,f,Copacabana,5.0,t,f
1760830,Raiane,2012-02-16,,,,f,Barra da Tijuca,4.0,t,f
2694627,Ricardo,2012-06-20,within a day,100%,,f,,4.0,t,f
2704494,Marcio,2012-06-21,within an hour,100%,99%,t,Botafogo,3.0,t,t
2740249,Vincenzo,2012-06-25,within a few hours,100%,0%,f,Copacabana,4.0,t,t
2788574,Teresa,2012-06-30,within a few hours,90%,80%,f,Copacabana,0.0,t,t
2803261,Monica,2012-07-02,within an hour,100%,100%,t,Copacabana,1.0,t,t
2805289,Vania,2012-07-02,within a day,100%,,f,Copacabana,1.0,t,f
2791501,Valéria,2012-06-30,within a few hours,100%,67%,f,Copacabana,1.0,t,t
2831706,Flávio William,2012-07-04,,,,f,Barra da Tijuca,2.0,t,t
2838933,Guilherme,2012-07-05,within a few hours,100%,73%,t,Copacabana,2.0,t,t
2292748,Denise,2012-05-04,within a day,60%,0%,f,Santa Teresa,4.0,t,f
2869358,Samara,2012-07-08,,,,f,,1.0,t,f
2160341,Tony,2012-04-17,within an hour,80%,100%,t,Copacabana,2.0,t,f
2903813,Lucia,2012-07-11,within an hour,100%,60%,f,Ipanema,7.0,t,t
2989144,Rafael,2012-07-19,within a few hours,100%,96%,t,Ipanema,7.0,t,t
2994624,Danny,2012-07-19,,,,f,Glória,1.0,t,f
3018529,Marcia,2012-07-22,within a day,75%,60%,f,Leblon,7.0,t,t
3040239,Paulo,2012-07-24,,,,t,Santa Teresa,6.0,t,t
2870922,Casa Da Marcia,2012-07-08,within an hour,100%,95%,t,Urca,2.0,t,t
1267196,Eduardo,2011-10-09,,,,f,Copacabana,3.0,t,t
1884906,Hugo,2012-03-08,within a day,100%,38%,f,Leme,1.0,t,t
3119093,Claudio,2012-07-31,within an hour,100%,75%,f,Ipanema,1.0,t,t
474000,Marcia,2011-03-30,within an hour,100%,100%,t,Lapa,4.0,t,t
3174352,Roman,2012-08-06,within a day,100%,,f,,1.0,t,t
2063611,Maria,2012-04-03,,,,f,Flamengo,1.0,t,t
3221428,Rogério,2012-08-10,within a day,100%,,f,Leme,1.0,t,t
3297294,Christophe,2012-08-18,within a few hours,100%,50%,f,Ipanema,2.0,t,t
2516002,Claudia,2012-06-01,within an hour,100%,98%,t,Copacabana,3.0,t,t
